,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,RT @Fox411: Why @megynkelly is leaving @FoxNews for NBC https://t.co/4tcuwKxg73 @HowardKurtz https://t.co/N3WpDgO8KP,Tue Jan 03 20:15:21 +0000 2017,0.0,0.0,1.0,0.0
1,Fox News,Governor calls for free tuition at New York public colleges https://t.co/3hpTbbvaEN,Tue Jan 03 20:01:02 +0000 2017,0.5106,0.248,0.752,0.0
2,Fox News,Oops! It turns out @amazon's Alexa mistook the 6 y.o.'s conversation about cookies and a dollhouse for an order.… https://t.co/43C9oMejl9,Tue Jan 03 19:56:26 +0000 2017,0.0,0.0,1.0,0.0
3,Fox News,Woman once accused of faking abduction defends herself to online harassers https://t.co/6KunInzOOs,Tue Jan 03 19:49:01 +0000 2017,-0.9118,0.0,0.388,0.612
4,Fox News,RT @foxnewshealth: Mom spends holidays with teen who received son's donated heart https://t.co/KbzL11LWx1 https://t.co/xtwZGTHZfJ,Tue Jan 03 19:47:12 +0000 2017,0.3818,0.167,0.833,0.0
5,Fox News,Injured dog stranded on train tracks protected by furry friend  https://t.co/cUKpraljQ6,Tue Jan 03 19:37:01 +0000 2017,0.5267,0.363,0.476,0.161
6,Fox News,Hospital patient angry over long wait time fires pistol; deputies shoot him  https://t.co/Nv0VEtNpPF,Tue Jan 03 19:28:01 +0000 2017,-0.6908,0.0,0.659,0.341
7,Fox News,"""We must never shy away from making progress for the American people, wherever we can."" - @SpeakerRyan https://t.co/5spd3xVSj3",Tue Jan 03 19:27:21 +0000 2017,0.5484,0.232,0.768,0.0
8,Fox News,"""We will honor you because you have honored us. We take this sacred trust seriously.""  - @SpeakerRyan",Tue Jan 03 19:23:56 +0000 2017,0.8834,0.442,0.558,0.0
9,Fox News,"""I want to say to the America people, 'We hear you. We will do right by you and we will deliver.'"" - @SpeakerRyan https://t.co/aNWZYfEq4I",Tue Jan 03 19:23:34 +0000 2017,0.0772,0.056,0.944,0.0
10,Fox News,".@SpeakerRyan ""They've suffered quietly...but now they have let out a great roar. Now we...must listen.""",Tue Jan 03 19:22:32 +0000 2017,0.2263,0.212,0.622,0.166
11,Fox News,"""It's no secret that millions and millions of Americans...are deeply dissatisfied with their current situation."" -… https://t.co/1iiIS8EfJh",Tue Jan 03 19:21:33 +0000 2017,-0.624,0.0,0.747,0.253
12,Fox News,Re-elected @SpeakerRyan addresses the House. Tune in to Fox News Channel now for live coverage. https://t.co/8cp5xT5KZR,Tue Jan 03 19:18:22 +0000 2017,0.0,0.0,1.0,0.0
13,Fox News,Breaking News: @PRyan has been re-elected House speaker. https://t.co/cFojBGzZww,Tue Jan 03 19:02:40 +0000 2017,0.0,0.0,1.0,0.0
14,Fox News,RT @foxnewshealth: Cured meats linked to worsening asthma symptoms  https://t.co/I0T6BU1VUF https://t.co/vvxDgukrZA,Tue Jan 03 18:46:42 +0000 2017,-0.4588,0.0,0.769,0.231
15,Fox News,Child's body found in Colorado pond during hunt for missing 6-year-old boy https://t.co/BjIvYEFqwq,Tue Jan 03 18:46:14 +0000 2017,-0.296,0.0,0.845,0.155
16,Fox News,JUST IN: @MegynKelly leaving Fox News for new role at NBC https://t.co/Oh1UhiObnZ,Tue Jan 03 18:37:35 +0000 2017,0.0,0.0,1.0,0.0
17,Fox News,RT @Fox411: Is an #XFactor2016 star aligning for the @realDonaldTrump inauguration?  https://t.co/EpokAsfFNG https://t.co/57TiEih4ZA,Tue Jan 03 18:07:32 +0000 2017,0.0,0.0,1.0,0.0
18,Fox News,"TONIGHT, 10pm ET: Don't miss @SeanHannity's exclusive interview with @WikiLeaks founder Julian Assange. https://t.co/2aJknGDn9m",Tue Jan 03 17:50:51 +0000 2017,0.0191,0.097,0.81,0.092
19,Fox News,".@Ford to scrap Mexico plant, invest in Michigan; CEO cites @realDonaldTrump policies. https://t.co/UiiwOZOw8v https://t.co/fRd0VCqD2S",Tue Jan 03 17:34:46 +0000 2017,0.0,0.0,1.0,0.0
20,CNN,"Sen. Chuck Schumer: I wish we hadn't triggered the ""nuclear option"" https://t.co/DVrC0UuuhE https://t.co/wwMhXcXu0b",Tue Jan 03 20:15:02 +0000 2017,0.4019,0.197,0.803,0.0
21,CNN,"#StarWars' Mark Hamill remembers his ""funny"" and ""outspoken"" friend Carrie Fisher: ""It's like we were a family""… https://t.co/Rx5tfcaeYV",Tue Jan 03 20:05:02 +0000 2017,0.6908,0.275,0.725,0.0
22,CNN,The NAACP stages a sit-in at Jeff Sessions' office to protest his nomination as US attorney general… https://t.co/EKBxrxrYNZ,Tue Jan 03 19:57:28 +0000 2017,-0.25,0.0,0.889,0.111
23,CNN,"RT @CNNPolitics: Paul Ryan to fellow Republicans: ""This is a once in a lifetime opportunity"" https://t.co/wrcQr13ciG https://t.co/emt5IcoEXE",Tue Jan 03 19:43:05 +0000 2017,0.4215,0.167,0.833,0.0
24,CNN,"Bill and Hillary Clinton to attend Donald Trump's inauguration, their aides say; George W. Bush and Laura Bush too… https://t.co/BpN8MFb3jD",Tue Jan 03 19:39:39 +0000 2017,0.0,0.0,1.0,0.0
25,CNN,Speaker Paul Ryan swears in the 115th US Congress https://t.co/kuEvREA32s https://t.co/QeUpwDskjc,Tue Jan 03 19:33:23 +0000 2017,0.0516,0.107,0.893,0.0
26,CNN,Paul Ryan takes his oath as Speaker of the House https://t.co/UYpqI3esEb https://t.co/2fbyqLtxYe,Tue Jan 03 19:31:08 +0000 2017,0.0,0.0,1.0,0.0
27,CNN,"Paul Ryan to Democrats: ""I promise to hear you out and let you have your say"" https://t.co/yfgzFuAgWt https://t.co/hXdrohyQed",Tue Jan 03 19:30:28 +0000 2017,0.3182,0.119,0.881,0.0
28,CNN,"Chrysler unveils minivan for millennials, complete with custom lighting, selfie cameras, and facial recognition… https://t.co/MLcrAJJAUp",Tue Jan 03 19:28:57 +0000 2017,0.0,0.0,1.0,0.0
29,CNN,"Speaker Paul Ryan remarks on unified government: ""You can feel the winds of change"" https://t.co/UYpqI3esEb https://t.co/qWwPFlxrBN",Tue Jan 03 19:28:10 +0000 2017,0.3818,0.148,0.852,0.0
30,CNN,"Speaker Paul Ryan: ""We hear you. We will do right by you. And we will deliver."" https://t.co/UYpqI3esEb https://t.co/2V4ArLwcVp",Tue Jan 03 19:23:11 +0000 2017,0.0,0.0,1.0,0.0
31,CNN,"Nancy Pelosi: We cannot allow our democracy ""to be subverted by the dark operations of a foreign regime"" https://t.co/IkWYXtGKxz",Tue Jan 03 19:21:49 +0000 2017,-0.1695,0.0,0.911,0.089
32,CNN,"Facebook banned this image of the Roman god Neptune in Bologna, Italy for being ""explicitly sexual""… https://t.co/GwXfPGwiOB",Tue Jan 03 19:21:01 +0000 2017,-0.2263,0.104,0.746,0.149
33,CNN,RT @CNNPolitics: Speaker Paul Ryan speaks at the beginning of the 115th Congress. Join in on #FacebookLive: https://t.co/1aPuCOwm4G https:/…,Tue Jan 03 19:20:12 +0000 2017,0.296,0.109,0.891,0.0
